what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1333165577167
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1333165577177
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1333165577177
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1333165577187
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1333165577187
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1333165577197
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1333165577197
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1333165577197
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1333165577207
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1333165577217
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1333165577227
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1333165577227
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1333165577237
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1333165577237
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1333165577247
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1333165577307
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1333165577317
os,sysinfo,,,"win32",1333165577327
arch,sysinfo,,,"x86",1333165577327
ws,sysinfo,,,"win32",1333165577327
locale,sysinfo,,,"ja_JP",1333165577327
processors,sysinfo,,,"1",1333165577327
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1333165577327
java.runtime.version,sysinfo,,,"1.7.0_03-b05",1333165577327
java.specification.name,sysinfo,,,"Java Platform API Specification",1333165577327
java.specification.vendor,sysinfo,,,"Oracle Corporation",1333165577327
java.specification.version,sysinfo,,,"1.7",1333165577327
java.vendor,sysinfo,,,"Oracle Corporation",1333165577327
java.version,sysinfo,,,"1.7.0_03",1333165577327
java.vm.info,sysinfo,,,"mixed mode, sharing",1333165577327
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1333165577327
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1333165577327
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1333165577327
java.vm.specification.version,sysinfo,,,"1.7",1333165577327
java.vm.vendor,sysinfo,,,"Oracle Corporation",1333165577327
java.vm.version,sysinfo,,,"22.1-b02",1333165577327
started,bundle,com.android.ide.eclipse.adt,17.0.0.v201203161636-291853,"com.android.ide.eclipse.adt",1333165578007
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1333165581399
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1333165581479
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1333165581679
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1333165583599
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1333165586831
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1333165795126
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333165798398
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333166805773
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333166808023
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333166809693
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333166811023
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1333166815403
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1333166815943
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1333166816133
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1333166816163
stopped,bundle,org.eclipse.compare.win32,1.0.101.R36x_v20101103-0618,"org.eclipse.compare.win32",1333166816193
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1333166816243
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1333166816263
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1333166816273
stopped,bundle,overlay.com.android.ide.eclipse.adt.overlay,17.0.0.v201203161636-291853,"overlay.com.android.ide.eclipse.adt.overlay",1333166816313
stopped,bundle,com.android.ide.eclipse.adt,17.0.0.v201203161636-291853,"com.android.ide.eclipse.adt",1333166816313
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1333166816313
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1333166816383
